Wed Mar 12 13:46:48 2025    cnv_purple_profile

         506475981 function calls (494362664 primitive calls) in 691.605 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   160812    1.912    0.000   21.888    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/oncokb-annotator-3.3.1/lib/python3.10/site-packages/matplotlib/patches.py:800(get_patch_transform)
   975994    8.849    0.000   21.807    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
   242698    0.991    0.000   21.476    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/generic.py:12362(_stat_function)
       14    0.000    0.000   20.327    1.452 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/oncokb-annotator-3.3.1/lib/python3.10/site-packages/matplotlib/backend_bases.py:2040(<lambda>)
   981502    3.037    0.000   19.369    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/frame.py:4626(_get_item_cache)
        4    0.000    0.000   19.232    4.808 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/djerba-1.8.1/lib/python3.10/site-packages/plotnine/ggplot.py:551(save_helper)
        4    0.000    0.000   19.209    4.802 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/djerba-1.8.1/lib/python3.10/site-packages/plotnine/ggplot.py:251(draw)
  1545156    4.751    0.000   18.743    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:89(_wrapreduction_any_all)
  3924408   18.741    0.000   18.741    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        4    0.000    0.000   18.456    4.614 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/oncokb-annotator-3.3.1/lib/python3.10/site-packages/matplotlib/backends/backend_cairo.py:449(print_png)
