ENSG00000188807.13	TMEM201
ENSG00000171608.18	PIK3CD
ENSG00000179840.5	PIK3CD-AS1
ENSG00000233268.3	ENSG00000233268
ENSG00000231789.4	PIK3CD-AS2
ENSG00000171603.18	CLSTN1
ENSG00000271264.1	MZT1P1
ENSG00000280113.2	ENSG00000280113
ENSG00000178585.15	CTNNBIP1
ENSG00000223989.1	ENSG00000223989
ENSG00000285701.1	ENSG00000285701
ENSG00000162441.12	LZIC
ENSG00000228150.1	ENSG00000228150
ENSG00000173614.14	NMNAT1
ENSG00000202415.1	RN7SKP269
ENSG00000283611.2	TMEM274P
ENSG00000265521.1	MIR5697
ENSG00000241326.1	ENSG00000241326
ENSG00000162444.12	RBP7
ENSG00000130939.20	UBE4B
ENSG00000224340.1	RPL21P21
ENSG00000233623.2	PGAM1P11
ENSG00000201746.1	RNU6-828P
ENSG00000054523.20	KIF1B
ENSG00000264881.1	ENSG00000264881
ENSG00000199562.1	RNU6-37P
ENSG00000264501.2	RN7SL731P
ENSG00000284735.1	ENSG00000284735
ENSG00000284642.1	ENSG00000284642
ENSG00000142657.21	PGD
ENSG00000271989.1	ENSG00000271989
ENSG00000251503.8	CENPS-CORT
ENSG00000175279.22	CENPS
ENSG00000241563.4	CORT
ENSG00000160049.12	DFFA
ENSG00000203469.2	ENSG00000203469
ENSG00000142655.13	PEX14
ENSG00000287727.1	ENSG00000287727
ENSG00000243267.3	RN7SL614P
ENSG00000130940.15	CASZ1
ENSG00000272078.1	ENSG00000272078
ENSG00000225158.2	HSPE1P24
ENSG00000175262.15	C1orf127
ENSG00000215785.2	CFL1P6
ENSG00000120948.19	TARDBP
ENSG00000009724.18	MASP2
ENSG00000116649.10	SRM
ENSG00000171824.14	EXOSC10
ENSG00000226849.1	ENSG00000226849
ENSG00000230337.3	EXOSC10-AS1
ENSG00000198793.14	MTOR
ENSG00000225602.5	MTOR-AS1
ENSG00000253086.1	RNU6-537P
ENSG00000171819.5	ANGPTL7
ENSG00000207451.1	RNU6-291P
ENSG00000238173.1	RPL39P6
ENSG00000120942.14	UBIAD1
ENSG00000238199.1	UBE2V2P3
ENSG00000284646.1	ENSG00000284646
ENSG00000224338.2	MTCYBP45
ENSG00000204624.8	DISP3
ENSG00000285833.1	ENSG00000285833
ENSG00000235643.2	LINC01647
ENSG00000284708.1	ENSG00000284708
ENSG00000116661.11	FBXO2
ENSG00000132879.14	FBXO44
ENSG00000116670.16	MAD2L2
ENSG00000116663.11	FBXO6
ENSG00000162490.7	DRAXIN
ENSG00000177674.16	AGTRAP
ENSG00000215910.8	C1orf167
ENSG00000177553.6	C1orf167-AS1
ENSG00000177000.13	MTHFR
ENSG00000011021.23	CLCN6
ENSG00000276470.1	ENSG00000276470
ENSG00000278852.1	ENSG00000278852
ENSG00000175206.11	NPPA
ENSG00000275915.1	ENSG00000275915
ENSG00000120937.9	NPPB
ENSG00000224904.1	SBF1P2
ENSG00000285646.2	ENSG00000285646
ENSG00000199347.1	RNU5E-1
ENSG00000201801.1	RNU5E-4P
