sample	cell_type	score	ptile
OCT_010497_Ov_P_nn_1-1_LB01-01	T cell CD8+	0	0
OCT_010538_So_M_nn_1-1_LB01-01	T cell CD8+	0.040219328	47.89915966
OCT_010542_Om_M_nn_1-1_LB03-01	T cell CD8+	0.024396152	32.77310924
OCT_010558_Ln_M_nn_1-1_LB03-01	T cell CD8+	0.1822087	89.07563025
OCT_010582_Ov_P_nn_1-1_LB02-01	T cell CD8+	0.127650398	83.19327731
OCT_010638_Ov_P_nn_1-1_LB02-01	T cell CD8+	0	0
OCT_010676_Ut_P_PE_294_WT	T cell CD8+	0.044444714	55.46218487
OCT_010677_Ov_P_nn_1-1_LB02-01	T cell CD8+	0	0
OCT_010707_Bn_M_nn_1-1_LB02-01	T cell CD8+	0.069834926	64.70588235
OCT_010736_Ov_P_nn_1-1_LB02-01	T cell CD8+	0.035816932	44.53781513
OCT_010805_Ov_P_nn_1-1_LB02-01	T cell CD8+	0	0
OCT_010820_Bl_P_PE_275_WT	T cell CD8+	0.031271493	39.49579832
OCT_010845_Sk_T_PE_300_WT	T cell CD8+	0.227230196	95.79831933
OCT_010866_Ln_M_PE_272_WT	T cell CD8+	0.217332716	95.79831933
OCT_010867_Ov_P_nn_1-1_LB02-01	T cell CD8+	0	0
OCT_010896_Ov_M_nn_1-1_LB02-01	T cell CD8+	0.084868086	71.42857143
OCT_010909_Gj_P_PE_279_WT	T cell CD8+	0.12408426	81.51260504
OCT_010958_Om_P_nn_1-1_LB02-01	T cell CD8+	0	0
OCT_010969_Br_M_PE_288_WT	T cell CD8+	0.087956529	71.42857143
OCT_011129_Ov_P_nn_1-1_LB02-01	T cell CD8+	0.048152843	58.82352941
OCT_011144_Om_P_nn_1-1_LB02-01	T cell CD8+	0.154017664	84.87394958
OCT_011150_Lv_M_PE_314_WT	T cell CD8+	0.075476366	68.06722689
OCT_011186_Ut_P_PE_301_WT	T cell CD8+	0.070521808	64.70588235
OCT_011191_Ki_P_PE_305_WT	T cell CD8+	0.274314192	96.63865546
OCT_011195_Ut_P_PE_307_WT	T cell CD8+	0	0
OCT_011205_Ov_P_PE_295_WT	T cell CD8+	0.063944575	63.86554622
OCT_011223_Ov_P_nn_1-1_LB02-01	T cell CD8+	0	0
OCT_011237_Bl_P_PE_303_WT	T cell CD8+	0.012428936	23.52941176
OCT_011242_En_M_PE_318_WT	T cell CD8+	0.027023747	35.29411765
OCT_011254_Ut_P_PE_312_WT	T cell CD8+	0.201361155	94.11764706
OCT_011256_Ss_P_PE_293_WT	T cell CD8+	0.12681742	82.35294118
OCT_011260_Ab_M_PE_287_WT	T cell CD8+	0.036178231	44.53781513
OCT_011271_Om_M_PE_312_WT	T cell CD8+	0	0
OCT_011272_Sg_P_PE_300_WT	T cell CD8+	0.003376017	18.48739496
OCT_011272_Sg_P_PE_304_WT	T cell CD8+	0	0
OCT_011272_Sg_P_PE_314_WT	T cell CD8+	0.142046777	84.87394958
OCT_011272_Sg_P_PE_316_WT	T cell CD8+	0.073208337	67.22689076
OCT_011272_Sg_P_PE_324_WT	T cell CD8+	0.058095426	61.34453782
OCT_011272_Sg_P_PE_325_WT	T cell CD8+	0.006013236	21.00840336
OCT_011282_So_M_PE_299_WT	T cell CD8+	0.195952301	94.11764706
OCT_011284_Sk_M_PE_268_WT	T cell CD8+	0	0
OCT_011299_Pa_P_PE_319_WT	T cell CD8+	0.004922383	18.48739496
OCT_011300_Ck_P_PE_316_WT	T cell CD8+	0.075227994	68.06722689
OCT_011303_Nk_P_PE_289_WT	T cell CD8+	0.089585494	72.26890756
OCT_011318_Br_P_nn_1-1_LB01-01	T cell CD8+	0.143812858	84.87394958
OCT_011322_Ov_P_PE_290_WT	T cell CD8+	0	0
OCT_011323_Ut_P_nn_1-1_LB01-01	T cell CD8+	0	0
OCT_011325_Mo_P_PE_419_WT	T cell CD8+	0.020324123	29.41176471
OCT_011327_Bn_M_PE_303_WT	T cell CD8+	0.097135675	73.1092437
OCT_011328_Ut_P_PE_275_WT	T cell CD8+	0	0
OCT_011345_Re_P_nn_1-1_LB01-01	T cell CD8+	0.004137639	18.48739496
OCT_011351_Ov_P_PE_295_WT	T cell CD8+	0.069287265	64.70588235
OCT_011374_Ov_P_PE_309_WT	T cell CD8+	0.025325578	33.61344538
OCT_011394_Ov_M_PE_305_WT	T cell CD8+	0.062355517	63.86554622
OCT_011408_Co_P_PE_298_WT	T cell CD8+	0	0
OCT_011418_Bl_P_PE_296_WT	T cell CD8+	0.033795375	42.85714286
OCT_011419_Lv_M_PE_295_WT	T cell CD8+	0	0
OCT_011428_Sk_M_PE_302_WT	T cell CD8+	0	0
OCT_011430_So_M_PE_289_WT	T cell CD8+	0	0
OCT_011435_Vu_P_PE_295_WT	T cell CD8+	0.059826587	63.02521008
OCT_011473_Re_P_PE_284_WT	T cell CD8+	0.064779802	63.86554622
OCT_011488_Lu_M_PE_290_WT	T cell CD8+	0.116149122	78.99159664
OCT_011493_Lv_P_PE_264_WT	T cell CD8+	0.017738689	26.05042017
OCT_011493_Lv_P_PE_265_WT	T cell CD8+	0.044428538	55.46218487
OCT_011493_Lv_P_PE_287_WT	T cell CD8+	0.057816485	61.34453782
OCT_011493_Lv_P_PE_290_WT	T cell CD8+	0.060221218	63.02521008
OCT_011493_Lv_P_PE_307_WT	T cell CD8+	0.044657226	55.46218487
OCT_011498_Re_M_nn_1-1_LB01-01	T cell CD8+	0	0
OCT_011506_Lu_M_PE_283_WT	T cell CD8+	0.021707055	30.25210084
